"voted_for","ABC","CBS","NBC","CNN","Fox_News","MSNBC","PBS","Other","TV_type","Party"
"Biden","not_selected","not_selected","not_selected","not_selected","selected","selected","not_selected","not_selected","Both","Independent"
"Biden","selected","not_selected","not_selected","selected","selected","selected","not_selected","not_selected","Both","Independent"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","National Newscast","Republican"
"Biden","not_selected","not_selected","selected","not_selected","not_selected","not_selected","not_selected","not_selected","Both","Democrat"
"Biden","not_selected","not_selected","selected","not_selected","not_selected","selected","not_selected","not_selected","Both","Democrat"
"Biden","selected","not_selected","not_selected","not_selected","not_selected","not_selected","not_selected","not_selected","National Newscast","Independent"
"Biden","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","not_selected","National Newscast","Independent"
"Biden","selected","not_selected","selected","not_selected","not_selected","not_selected","not_selected","not_selected","Both","Democrat"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","selected","not_selected","Both","Republican"
"Biden","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","not_selected","National Newscast","Independent"
"Biden","selected","not_selected","not_selected","not_selected","not_selected","not_selected","selected","not_selected","National Newscast","Democrat"
"Biden","selected","not_selected","not_selected","selected","not_selected","selected","selected","not_selected","National Newscast","Independent"
"Trump","selected","not_selected","not_selected","not_selected","not_selected","not_selected","not_selected","not_selected","Both","Republican"
"Biden","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","not_selected","Both","Democrat"
"Biden","not_selected","not_selected","selected","not_selected","not_selected","not_selected","selected","not_selected","Both","Democrat"
"Trump","selected","selected","not_selected","selected","selected","not_selected","not_selected","not_selected","Both","Independent"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","National Newscast","Republican"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","Both","Independent"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","National Newscast","Republican"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","selected","not_selected","Both","Republican"
"Biden","not_selected","selected","not_selected","not_selected","not_selected","not_selected","not_selected","not_selected","Both","Democrat"
"Biden","not_selected","selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","National Newscast","Independent"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","National Newscast","Republican"
"Biden","not_selected","not_selected","selected","not_selected","not_selected","not_selected","not_selected","not_selected","National Newscast","Democrat"
"Biden","selected","not_selected","selected","selected","selected","not_selected","selected","not_selected","National Newscast","Independent"
"Trump","not_selected","selected","not_selected","not_selected","not_selected","not_selected","not_selected","not_selected","Both","Republican"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","National Newscast","Republican"
"Biden","not_selected","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","National Newscast","Democrat"
"Biden","not_selected","not_selected","not_selected","selected","not_selected","selected","selected","not_selected","Both","Republican"
"Biden","not_selected","selected","selected","selected","not_selected","selected","selected","not_selected","Both","Democrat"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","Both","Republican"
"Biden","not_selected","not_selected","selected","not_selected","not_selected","selected","not_selected","not_selected","National Newscast","Democrat"
"Trump","selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","Both","Republican"
"Biden","not_selected","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","National Newscast","Democrat"
"Biden","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","not_selected","National Newscast","Democrat"
"Trump","not_selected","not_selected","selected","not_selected","selected","not_selected","not_selected","not_selected","Both","Republican"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","Both","Republican"
"Biden","not_selected","not_selected","selected","not_selected","not_selected","not_selected","not_selected","not_selected","Both","Democrat"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","Both","Republican"
"Biden","not_selected","selected","selected","selected","not_selected","selected","not_selected","not_selected","Both","Democrat"
"Biden","selected","selected","selected","not_selected","not_selected","selected","selected","not_selected","Both","Democrat"
"Biden","not_selected","not_selected","selected","not_selected","not_selected","not_selected","selected","not_selected","Both","Independent"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","National Newscast","Republican"
"Biden","not_selected","selected","not_selected","not_selected","not_selected","not_selected","not_selected","selected","Both","Independent"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","National Newscast","Independent"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","National Newscast","Republican"
"Biden","not_selected","not_selected","not_selected","selected","not_selected","selected","selected","not_selected","National Newscast","Democrat"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","National Newscast","Republican"
"Biden","selected","selected","selected","selected","selected","selected","selected","not_selected","Both","Democrat"
"Biden","not_selected","not_selected","selected","selected","not_selected","selected","not_selected","not_selected","National Newscast","Democrat"
"Biden","not_selected","not_selected","selected","not_selected","not_selected","selected","not_selected","not_selected","Both","Independent"
"Biden","not_selected","not_selected","not_selected","not_selected","not_selected","selected","not_selected","selected","National Newscast","Democrat"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","selected","National Newscast","Independent"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","Both","Independent"
"Biden","not_selected","not_selected","selected","not_selected","not_selected","not_selected","selected","not_selected","Both","Democrat"
"Biden","not_selected","selected","selected","selected","not_selected","selected","selected","not_selected","Both","Democrat"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","National Newscast","Republican"
"Biden","not_selected","selected","not_selected","selected","not_selected","not_selected","not_selected","not_selected","National Newscast","Independent"
"Biden","selected","not_selected","not_selected","not_selected","not_selected","not_selected","selected","not_selected","Both","Republican"
"Biden","not_selected","selected","selected","selected","selected","not_selected","not_selected","not_selected","Both","Democrat"
"Trump","not_selected","not_selected","selected","not_selected","selected","not_selected","not_selected","not_selected","Both","Republican"
"Trump","not_selected","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","Both","Independent"
"Biden","selected","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","National Newscast","Democrat"
"Biden","selected","selected","not_selected","selected","not_selected","selected","selected","not_selected","Both","Democrat"
"Biden","not_selected","not_selected","selected","selected","not_selected","selected","not_selected","not_selected","Both","Democrat"
"Biden","not_selected","not_selected","not_selected","selected","not_selected","selected","not_selected","not_selected","National Newscast","Democrat"
"Biden","not_selected","not_selected","selected","not_selected","not_selected","selected","not_selected","not_selected","Both","Democrat"
"Biden","not_selected","not_selected","not_selected","selected","not_selected","selected","selected","not_selected","National Newscast","Democrat"
"Biden","not_selected","not_selected","selected","selected","not_selected","not_selected","not_selected","not_selected","Both","Democrat"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","selected","Both","Republican"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","National Newscast","Independent"
"Trump","selected","not_selected","not_selected","not_selected","not_selected","not_selected","not_selected","not_selected","Both","Democrat"
"Biden","selected","not_selected","not_selected","not_selected","not_selected","not_selected","not_selected","not_selected","National Newscast","Democrat"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","selected","not_selected","National Newscast","Republican"
"Biden","not_selected","not_selected","selected","not_selected","not_selected","not_selected","not_selected","not_selected","Both","Independent"
"Biden","not_selected","not_selected","selected","not_selected","not_selected","not_selected","not_selected","not_selected","National Newscast","Democrat"
"Biden","selected","not_selected","selected","selected","not_selected","selected","not_selected","not_selected","Both","Democrat"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","selected","Both","Republican"
"Biden","not_selected","not_selected","not_selected","not_selected","selected","selected","not_selected","not_selected","National Newscast","Independent"
"Biden","selected","selected","selected","not_selected","not_selected","not_selected","selected","selected","Both","Other"
"Biden","selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","not_selected","National Newscast","Democrat"
"Biden","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","not_selected","National Newscast","Democrat"
"Biden","selected","selected","selected","selected","selected","not_selected","not_selected","not_selected","Both","Independent"
"Biden","selected","selected","selected","selected","not_selected","selected","not_selected","not_selected","Both","Democrat"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","Both","Republican"
"Biden","not_selected","selected","selected","selected","selected","selected","not_selected","not_selected","Both","Independent"
"Biden","not_selected","not_selected","selected","selected","not_selected","not_selected","not_selected","not_selected","National Newscast","Democrat"
"Trump","selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","National Newscast","Republican"
"Biden","selected","selected","selected","selected","not_selected","not_selected","selected","not_selected","Both","Independent"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","National Newscast","Republican"
"Biden","selected","not_selected","selected","selected","not_selected","selected","selected","not_selected","Both","Democrat"
"Biden","not_selected","selected","not_selected","selected","not_selected","not_selected","not_selected","not_selected","Both","Democrat"
"Biden","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","not_selected","National Newscast","Democrat"
"Biden","not_selected","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","Both","Democrat"
"Biden","not_selected","not_selected","selected","not_selected","not_selected","not_selected","not_selected","not_selected","Both","Democrat"
"Biden","selected","selected","selected","selected","selected","selected","not_selected","not_selected","Both","Independent"
"Trump","not_selected","selected","selected","not_selected","selected","not_selected","not_selected","not_selected","Both","Independent"
"Biden","selected","not_selected","not_selected","not_selected","not_selected","not_selected","selected","not_selected","Both","Democrat"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","Both","Republican"
"Biden","selected","not_selected","selected","selected","not_selected","selected","not_selected","not_selected","Both","Democrat"
"Biden","not_selected","not_selected","selected","not_selected","not_selected","selected","not_selected","not_selected","National Newscast","Democrat"
"Biden","not_selected","selected","selected","not_selected","not_selected","selected","not_selected","not_selected","National Newscast","Independent"
"Biden","selected","selected","selected","not_selected","not_selected","not_selected","selected","not_selected","Both","Independent"
"Trump","selected","not_selected","not_selected","not_selected","not_selected","not_selected","not_selected","not_selected","Both","Independent"
"Biden","selected","selected","selected","selected","not_selected","selected","not_selected","not_selected","Both","Democrat"
"Biden","selected","selected","selected","selected","not_selected","selected","selected","selected","Both","Democrat"
"Biden","selected","not_selected","selected","selected","not_selected","selected","not_selected","not_selected","Both","Democrat"
"Biden","not_selected","selected","selected","not_selected","not_selected","not_selected","not_selected","not_selected","National Newscast","Democrat"
"Biden","not_selected","not_selected","not_selected","selected","not_selected","selected","not_selected","not_selected","National Newscast","Independent"
"Biden","not_selected","not_selected","selected","selected","not_selected","selected","not_selected","not_selected","Both","Democrat"
"Biden","selected","selected","selected","not_selected","selected","not_selected","not_selected","not_selected","Both","Democrat"
"Trump","selected","selected","not_selected","not_selected","not_selected","not_selected","not_selected","selected","Both","Republican"
"Biden","not_selected","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","National Newscast","Democrat"
"Biden","not_selected","not_selected","not_selected","not_selected","selected","selected","not_selected","not_selected","Both","Democrat"
"Biden","not_selected","selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","National Newscast","Democrat"
"Biden","selected","not_selected","not_selected","selected","not_selected","selected","selected","not_selected","Both","Democrat"
"Trump","not_selected","not_selected","selected","not_selected","selected","not_selected","not_selected","not_selected","Both","Independent"
"Biden","not_selected","selected","selected","not_selected","not_selected","not_selected","selected","not_selected","Both","Independent"
"Biden","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","not_selected","National Newscast","Democrat"
"Biden","selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","not_selected","Both","Democrat"
"Biden","not_selected","not_selected","not_selected","selected","not_selected","selected","not_selected","not_selected","Both","Democrat"
"Biden","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","not_selected","National Newscast","Democrat"
"Trump","not_selected","not_selected","not_selected","selected","selected","not_selected","not_selected","not_selected","National Newscast","Independent"
"Biden","selected","selected","not_selected","selected","selected","not_selected","not_selected","not_selected","Both","Democrat"
"Biden","not_selected","selected","selected","selected","not_selected","not_selected","not_selected","not_selected","Both","Democrat"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","National Newscast","Republican"
"Biden","not_selected","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","National Newscast","Democrat"
"Biden","not_selected","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","National Newscast","Democrat"
"Biden","not_selected","selected","not_selected","not_selected","not_selected","not_selected","not_selected","selected","Both","Independent"
"Biden","not_selected","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","National Newscast","Democrat"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","selected","National Newscast","Republican"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","National Newscast","Republican"
"Biden","not_selected","not_selected","not_selected","selected","selected","selected","not_selected","selected","National Newscast","Democrat"
"Biden","selected","not_selected","not_selected","selected","not_selected","selected","not_selected","not_selected","Both","Democrat"
"Trump","selected","selected","selected","selected","selected","not_selected","not_selected","not_selected","Both","Republican"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","Both","Independent"
"Biden","not_selected","not_selected","not_selected","selected","not_selected","selected","not_selected","not_selected","National Newscast","Democrat"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","selected","not_selected","National Newscast","Republican"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","selected","National Newscast","Independent"
"Biden","not_selected","selected","not_selected","not_selected","not_selected","not_selected","selected","not_selected","Both","Democrat"
"Biden","not_selected","not_selected","not_selected","selected","not_selected","selected","selected","not_selected","Both","Independent"
"Trump","not_selected","selected","not_selected","not_selected","selected","not_selected","selected","selected","Both","Republican"
"Trump","selected","selected","selected","not_selected","selected","not_selected","not_selected","not_selected","Both","Republican"
"Biden","not_selected","not_selected","not_selected","selected","not_selected","selected","not_selected","not_selected","National Newscast","Democrat"
"Biden","selected","not_selected","not_selected","selected","selected","selected","not_selected","not_selected","Both","Democrat"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","National Newscast","Republican"
"Biden","not_selected","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","National Newscast","Democrat"
"Trump","not_selected","selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","Both","Republican"
"Biden","not_selected","not_selected","selected","not_selected","not_selected","not_selected","not_selected","not_selected","National Newscast","Democrat"
"Biden","not_selected","not_selected","selected","not_selected","not_selected","selected","not_selected","not_selected","National Newscast","Democrat"
"Biden","selected","not_selected","not_selected","selected","selected","not_selected","not_selected","not_selected","National Newscast","Democrat"
"Biden","not_selected","not_selected","not_selected","not_selected","not_selected","not_selected","selected","not_selected","Both","Democrat"
"Biden","not_selected","not_selected","selected","selected","not_selected","not_selected","not_selected","not_selected","Both","Independent"
"Biden","not_selected","not_selected","not_selected","not_selected","not_selected","not_selected","selected","not_selected","National Newscast","Democrat"
"Biden","selected","selected","selected","selected","not_selected","selected","selected","not_selected","Both","Independent"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","Both","Republican"
"Trump","selected","not_selected","not_selected","selected","selected","selected","selected","not_selected","Both","Republican"
"Biden","not_selected","selected","not_selected","selected","selected","not_selected","selected","not_selected","Both","Independent"
"Biden","not_selected","selected","selected","not_selected","not_selected","not_selected","not_selected","not_selected","Both","Democrat"
"Biden","not_selected","not_selected","not_selected","not_selected","not_selected","selected","selected","not_selected","National Newscast","Democrat"
"Biden","selected","not_selected","selected","not_selected","not_selected","not_selected","not_selected","not_selected","Both","Democrat"
"Trump","selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","Both","Republican"
"Trump","not_selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","Both","Independent"
"Trump","selected","not_selected","not_selected","not_selected","selected","not_selected","not_selected","not_selected","Both","Republican"
"Biden","not_selected","selected","not_selected","not_selected","not_selected","not_selected","not_selected","not_selected","Both","Democrat"
"Biden","not_selected","selected","selected","selected","not_selected","selected","selected","not_selected","Both","Democrat"
"Trump","not_selected","selected","selected","not_selected","not_selected","not_selected","not_selected","selected","Both","Republican"
"Biden","not_selected","not_selected","selected","not_selected","not_selected","selected","selected","not_selected","National Newscast","Democrat"
